Participant ID,Trial no,Target Color,Dist1,Dist2,Response,Accuracy
Palak,38,"(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, -0.13385826771653542)",right,0

Palak,39,"(0.1796875, -1.0, -0.7637795275590551)","(0.1796875, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)",left,1

Palak,40,"(-0.21259842519685046, 0.2578125, -1.0)","(-0.21259842519685046, 0.2578125, -1.0)","(-0.21259842519685046, 0.3359375, -1.0)",left,1

Palak,41,"(0.1796875, -0.21259842519685046, 0.1796875)","(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, 0.1796875)",right,1

Palak,42,"(0.0234375, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)",left,0

Palak,43,"(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, 0.2578125)",left,1

Palak,44,"(0.3359375, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)",right,1

Palak,45,"(-0.21259842519685046, -0.13385826771653542, -1.0)","(-0.21259842519685046, -0.13385826771653542, -1.0)","(-0.21259842519685046, 0.3359375, -1.0)",left,1

Palak,46,"(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, 0.2578125)",right,0

Palak,47,"(0.1015625, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)","(0.1015625, -1.0, -0.7637795275590551)",left,0

Palak,48,"(0.7265625, 0.1015625, -1.0)","(0.7265625, -0.055118110236220486, -1.0)","(0.7265625, 0.1015625, -1.0)",left,0

Palak,49,"(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, 0.3359375)",left,1

Palak,50,"(0.2578125, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)",right,1

Palak,51,"(0.7265625, -0.13385826771653542, -1.0)","(0.7265625, 0.2578125, -1.0)","(0.7265625, -0.13385826771653542, -1.0)",right,1

Palak,52,"(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, 0.1796875)","(-1.0, -0.6062992125984252, 0.3359375)",left,0

Palak,53,"(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.0234375, -1.0)",right,0

