Participant ID,Trial no,Target Color,Dist1,Dist2,Response,Accuracy

3,1,"(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, -0.13385826771653542)",right,1

3,2,"(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, 0.2578125)","(0.1796875, -0.21259842519685046, 0.1015625)",left,0

3,3,"(-0.055118110236220486, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)","(-0.055118110236220486, -1.0, -0.7637795275590551)",right,1

3,4,"(0.1796875, -0.21259842519685046, 0.0234375)","(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, 0.0234375)",right,1

3,5,"(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, -0.055118110236220486)",left,1

3,6,"(-0.21259842519685046, -0.21259842519685046, -1.0)","(-0.21259842519685046, -0.21259842519685046, -1.0)","(-0.21259842519685046, -0.13385826771653542, -1.0)",left,1

3,7,"(-0.21259842519685046, -0.13385826771653542, -1.0)","(-0.21259842519685046, 0.3359375, -1.0)","(-0.21259842519685046, -0.13385826771653542, -1.0)",right,1

3,8,"(-0.21259842519685046, -0.055118110236220486, -1.0)","(-0.21259842519685046, 0.1015625, -1.0)","(-0.21259842519685046, -0.055118110236220486, -1.0)",right,1

3,9,"(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, 0.1015625)",right,1

3,10,"(-0.21259842519685046, 0.0234375, -1.0)","(-0.21259842519685046, -0.055118110236220486, -1.0)","(-0.21259842519685046, 0.0234375, -1.0)",right,1

3,11,"(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, 0.1015625)",left,1

3,12,"(-0.21259842519685046, 0.3359375, -1.0)","(-0.21259842519685046, -0.055118110236220486, -1.0)","(-0.21259842519685046, 0.3359375, -1.0)",right,1

3,13,"(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, 0.3359375)",right,1

3,14,"(0.7265625, 0.0234375, -1.0)","(0.7265625, 0.0234375, -1.0)","(0.7265625, -0.13385826771653542, -1.0)",left,1

3,15,"(0.2578125, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)",right,1

3,16,"(0.7265625, 0.2578125, -1.0)","(0.7265625, 0.2578125, -1.0)","(0.7265625, -0.13385826771653542, -1.0)",left,1

3,17,"(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, -0.21259842519685046)","(-1.0, -0.6062992125984252, 0.3359375)",right,1

3,18,"(-0.21259842519685046, 0.0234375, -1.0)","(-0.21259842519685046, 0.0234375, -1.0)","(-0.21259842519685046, -0.13385826771653542, -1.0)",left,1

3,19,"(0.1796875, -1.0, -0.7637795275590551)","(-0.055118110236220486, -1.0, -0.7637795275590551)","(0.1796875, -1.0, -0.7637795275590551)",right,1

3,20,"(-1.0, -0.6062992125984252, 0.1796875)","(-1.0, -0.6062992125984252, 0.1796875)","(-1.0, -0.6062992125984252, -0.21259842519685046)",left,1

3,21,"(-0.21259842519685046, -0.055118110236220486, -1.0)","(-0.21259842519685046, -0.055118110236220486, -1.0)","(-0.21259842519685046, -0.21259842519685046, -1.0)",left,1

3,22,"(0.7265625, -0.055118110236220486, -1.0)","(0.7265625, 0.0234375, -1.0)","(0.7265625, -0.055118110236220486, -1.0)",left,0

3,23,"(0.1796875, -0.21259842519685046, 0.2578125)","(0.1796875, -0.21259842519685046, 0.0234375)","(0.1796875, -0.21259842519685046, 0.2578125)",right,1

3,24,"(0.1015625, -1.0, -0.7637795275590551)","(0.1015625, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)",left,1

3,25,"(-0.055118110236220486, -1.0, -0.7637795275590551)","(-0.055118110236220486, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)",left,1

3,26,"(0.1796875, -0.21259842519685046, 0.2578125)","(0.1796875, -0.21259842519685046, 0.2578125)","(0.1796875, -0.21259842519685046, -0.13385826771653542)",left,1

3,27,"(-0.21259842519685046, -0.21259842519685046, -1.0)","(-0.21259842519685046, -0.21259842519685046, -1.0)","(-0.21259842519685046, 0.3359375, -1.0)",left,1

3,28,"(-0.055118110236220486, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)","(-0.055118110236220486, -1.0, -0.7637795275590551)",right,1

3,29,"(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, 0.1015625)",right,1

3,30,"(-0.21259842519685046, 0.1796875, -1.0)","(-0.21259842519685046, 0.1796875, -1.0)","(-0.21259842519685046, 0.2578125, -1.0)",right,0

3,31,"(-1.0, -0.6062992125984252, -0.055118110236220486)","(-1.0, -0.6062992125984252, -0.055118110236220486)","(-1.0, -0.6062992125984252, -0.21259842519685046)",left,1

3,32,"(-1.0, -0.6062992125984252, 0.2578125)","(-1.0, -0.6062992125984252, -0.055118110236220486)","(-1.0, -0.6062992125984252, 0.2578125)",right,1

3,33,"(-1.0, -0.6062992125984252, 0.0234375)","(-1.0, -0.6062992125984252, 0.1015625)","(-1.0, -0.6062992125984252, 0.0234375)",left,0

3,34,"(-1.0, -0.6062992125984252, -0.21259842519685046)","(-1.0, -0.6062992125984252, -0.21259842519685046)","(-1.0, -0.6062992125984252, -0.055118110236220486)",right,0

3,35,"(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, 0.2578125)",left,1

3,36,"(-1.0, -0.6062992125984252, 0.1796875)","(-1.0, -0.6062992125984252, 0.1015625)","(-1.0, -0.6062992125984252, 0.1796875)",right,1

3,37,"(-0.21259842519685046, 0.1015625, -1.0)","(-0.21259842519685046, 0.1015625, -1.0)","(-0.21259842519685046, 0.0234375, -1.0)",left,1

3,38,"(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, 0.2578125)",left,1

3,39,"(0.0234375, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)",right,0

3,40,"(0.7265625, 0.1796875, -1.0)","(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, 0.1796875, -1.0)",right,1

3,41,"(0.7265625, 0.2578125, -1.0)","(0.7265625, 0.2578125, -1.0)","(0.7265625, -0.055118110236220486, -1.0)",left,1

3,42,"(-0.21259842519685046, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)",left,1

3,43,"(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, -0.21259842519685046)",left,1

3,44,"(-0.21259842519685046, -0.13385826771653542, -1.0)","(-0.21259842519685046, -0.13385826771653542, -1.0)","(-0.21259842519685046, 0.1796875, -1.0)",left,1

3,45,"(0.7265625, 0.1796875, -1.0)","(0.7265625, 0.1796875, -1.0)","(0.7265625, -0.13385826771653542, -1.0)",left,1

3,46,"(-0.21259842519685046, 0.0234375, -1.0)","(-0.21259842519685046, 0.2578125, -1.0)","(-0.21259842519685046, 0.0234375, -1.0)",left,0

