Participant ID,Trial no,Hue Color,Verbal Labels

3,1,"(0.1015625, -1.0, -0.7637795275590551)","red, crimson, maroon, lal, chuvap"

3,2,"(0.7265625, -0.055118110236220486, -1.0)",orange

3,3,"(0.1796875, -0.21259842519685046, 0.1015625)",indigo

3,4,"(-1.0, -0.6062992125984252, 0.1796875)","navy blue, neela, neela"

3,5,"(0.7265625, -0.21259842519685046, -1.0)",orange

3,6,"(0.7265625, 0.1015625, -1.0)",orange

3,7,"(-0.21259842519685046, 0.2578125, -1.0)","olive green, pacha, "

3,8,"(-1.0, -0.6062992125984252, 0.3359375)","blue, neela, neela"

3,9,"(0.7265625, 0.3359375, -1.0)","yellow, manja, peela"

3,10,"(-0.055118110236220486, -1.0, -0.7637795275590551)","crimson red, chuvap"

3,11,"(0.3359375, -1.0, -0.7637795275590551)",bright red

3,12,"(-0.21259842519685046, 0.3359375, -1.0)","green, pacha"

3,13,"(-1.0, -0.6062992125984252, 0.0234375)","navy blue, neela, neela"

3,14,"(-0.21259842519685046, 0.0234375, -1.0)","olive green, pacha"

3,15,"(-0.21259842519685046, 0.1015625, -1.0)","olive green, pacha"

3,16,"(0.7265625, 0.2578125, -1.0)","yellow, manja"

3,17,"(-1.0, -0.6062992125984252, -0.21259842519685046)","navy blue, neela, neela"

3,18,"(0.0234375, -1.0, -0.7637795275590551)","crimson red, chuvap"

3,19,"(-1.0, -0.6062992125984252, 0.2578125)","navy blue, neela"

3,20,"(-1.0, -0.6062992125984252, -0.13385826771653542)","dark blue, neela, neela"

3,21,"(-0.21259842519685046, -1.0, -0.7637795275590551)","dark red, kadumchuvap"

3,22,"(-0.21259842519685046, 0.1796875, -1.0)","olive green, pacha"

3,23,"(0.7265625, -0.13385826771653542, -1.0)",orange

3,24,"(0.1796875, -0.21259842519685046, -0.13385826771653542)",pastel pink

3,25,"(0.2578125, -1.0, -0.7637795275590551)","brick red, chuvap"

3,26,"(0.7265625, 0.1796875, -1.0)","yellow, manja"

3,27,"(-1.0, -0.6062992125984252, -0.055118110236220486)","navy blue, neela, neela"

3,28,"(0.7265625, 0.0234375, -1.0)",orange

3,29,"(-1.0, -0.6062992125984252, 0.1015625)","navy blue, neela, neela"

3,30,"(-0.21259842519685046, -0.21259842519685046, -1.0)","olive green, pacha"

3,31,"(0.1796875, -0.21259842519685046, -0.21259842519685046)",pastel pink

3,32,"(0.1796875, -0.21259842519685046, 0.3359375)",indigo

3,33,"(0.1796875, -0.21259842519685046, 0.0234375)",indigo

3,34,"(-0.13385826771653542, -1.0, -0.7637795275590551)","brick red, chuvap"

3,35,"(0.1796875, -0.21259842519685046, -0.055118110236220486)",pastel pink

3,36,"(0.1796875, -0.21259842519685046, 0.1796875)",indigo

3,37,"(-0.21259842519685046, -0.055118110236220486, -1.0)","green , pacha"

3,38,"(0.1796875, -0.21259842519685046, 0.2578125)",indigo

3,39,"(0.1796875, -1.0, -0.7637795275590551)","crimson red, chuvap"

3,40,"(-0.21259842519685046, -0.13385826771653542, -1.0)","olive green, pacha"

