Participant ID,Trial no,Hue Color,Verbal Labels
2,1,"(-1.0, -0.6062992125984252, 0.1015625)",dark blue
2,2,"(0.7265625, 0.0234375, -1.0)",dark mustard yellow
2,3,"(0.7265625, 0.2578125, -1.0)",light mustard yellow
2,4,"(0.7265625, -0.13385826771653542, -1.0)",yellow
2,5,"(-1.0, -0.6062992125984252, 0.3359375)",blue
2,6,"(-0.21259842519685046, 0.1796875, -1.0)",green
2,7,"(-0.21259842519685046, 0.0234375, -1.0)",green
2,8,"(0.1015625, -1.0, -0.7637795275590551)",maroon
2,9,"(0.1796875, -0.21259842519685046, -0.13385826771653542)",light pink
2,10,"(0.7265625, 0.1796875, -1.0)",mustard yellow
2,11,"(0.7265625, 0.1015625, -1.0)",yellow
2,12,"(-0.21259842519685046, -1.0, -0.7637795275590551)",maroon red
2,13,"(-1.0, -0.6062992125984252, -0.21259842519685046)",blue
2,14,"(0.1796875, -0.21259842519685046, 0.1796875)",lavendar
2,15,"(0.0234375, -1.0, -0.7637795275590551)",red
2,16,"(0.7265625, 0.3359375, -1.0)",yellow
2,17,"(-1.0, -0.6062992125984252, -0.055118110236220486)",blue
2,18,"(-0.21259842519685046, -0.055118110236220486, -1.0)",green
2,19,"(0.1796875, -0.21259842519685046, -0.055118110236220486)",pink
2,20,"(0.1796875, -0.21259842519685046, 0.2578125)",lavendar
2,21,"(-1.0, -0.6062992125984252, 0.2578125)",blue
2,22,"(-1.0, -0.6062992125984252, 0.0234375)",blue
2,23,"(-0.055118110236220486, -1.0, -0.7637795275590551)",red
2,24,"(0.1796875, -1.0, -0.7637795275590551)",red
2,25,"(-0.21259842519685046, -0.21259842519685046, -1.0)","green, harra, chanaka paccha"
2,26,"(0.1796875, -0.21259842519685046, 0.0234375)",pink
2,27,"(0.3359375, -1.0, -0.7637795275590551)","red, lal, chuvappu"
2,28,"(0.7265625, -0.055118110236220486, -1.0)","yellow, peela, manzha"
2,29,"(-1.0, -0.6062992125984252, -0.13385826771653542)","blue, neela(hindi), neel(malayalam)"
2,30,"(-0.21259842519685046, 0.3359375, -1.0)","green, harra, paccha"
2,31,"(-0.13385826771653542, -1.0, -0.7637795275590551)","red, lal, chuvappu"
2,32,"(0.1796875, -0.21259842519685046, 0.3359375)",lavendar purple
2,33,"(-0.21259842519685046, 0.2578125, -1.0)","green, harra, paccha"
2,34,"(-0.21259842519685046, -0.13385826771653542, -1.0)","green, harra, paccha"
2,35,"(0.1796875, -0.21259842519685046, -0.21259842519685046)","pink, gulabi"
2,36,"(0.7265625, -0.21259842519685046, -1.0)",orange
2,37,"(0.2578125, -1.0, -0.7637795275590551)","red, lal, chuvappu"
2,38,"(0.1796875, -0.21259842519685046, 0.1015625)",lavendar purple
2,39,"(-1.0, -0.6062992125984252, 0.1796875)","blue, neela, neel"
2,40,"(-0.21259842519685046, 0.1015625, -1.0)","gree, harra, paccha"
