Participant ID,Trial no,Target Color,Dist1,Dist2,Response,Accuracy
2,1,"(-1.0, -0.6062992125984252, -0.055118110236220486)","(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, -0.055118110236220486)",right,1
2,2,"(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, 0.1796875)",left,1
2,3,"(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, 0.1796875)","(0.1796875, -0.21259842519685046, 0.1015625)",right,1
2,4,"(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, 0.1796875)","(-1.0, -0.6062992125984252, 0.3359375)",right,1
2,5,"(-1.0, -0.6062992125984252, 0.0234375)","(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, 0.0234375)",right,1
2,6,"(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, 0.3359375, -1.0)","(0.7265625, -0.21259842519685046, -1.0)",right,1
2,7,"(0.7265625, 0.3359375, -1.0)","(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, 0.3359375, -1.0)",right,1
2,8,"(-1.0, -0.6062992125984252, -0.13385826771653542)","(-1.0, -0.6062992125984252, 0.2578125)","(-1.0, -0.6062992125984252, -0.13385826771653542)",right,1
2,9,"(0.2578125, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)",left,1
2,10,"(0.2578125, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)",left,1
2,11,"(0.3359375, -1.0, -0.7637795275590551)","(0.1796875, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)",right,1
2,12,"(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, 0.2578125)","(-1.0, -0.6062992125984252, 0.3359375)",right,1
2,13,"(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, -0.13385826771653542)",right,1
2,14,"(-0.21259842519685046, 0.0234375, -1.0)","(-0.21259842519685046, 0.1015625, -1.0)","(-0.21259842519685046, 0.0234375, -1.0)",left,0
2,15,"(0.0234375, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)","(0.1796875, -1.0, -0.7637795275590551)",left,1
2,16,"(-1.0, -0.6062992125984252, -0.055118110236220486)","(-1.0, -0.6062992125984252, -0.055118110236220486)","(-1.0, -0.6062992125984252, 0.3359375)",left,1
2,17,"(0.7265625, -0.055118110236220486, -1.0)","(0.7265625, -0.055118110236220486, -1.0)","(0.7265625, 0.1796875, -1.0)",left,1
2,18,"(0.1796875, -0.21259842519685046, 0.0234375)","(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, 0.0234375)",left,0
2,19,"(0.1796875, -0.21259842519685046, 0.2578125)","(0.1796875, -0.21259842519685046, 0.2578125)","(0.1796875, -0.21259842519685046, 0.1015625)",left,1
2,20,"(-1.0, -0.6062992125984252, -0.21259842519685046)","(-1.0, -0.6062992125984252, 0.0234375)","(-1.0, -0.6062992125984252, -0.21259842519685046)",right,1
2,21,"(-1.0, -0.6062992125984252, 0.0234375)","(-1.0, -0.6062992125984252, 0.1796875)","(-1.0, -0.6062992125984252, 0.0234375)",right,1
